,y,x,street_count,highway,ref
3805846351,51.4346676,-2.6174754,3,,
3805846371,51.4347652,-2.6166007,3,,
3805846375,51.4348053,-2.6078116,3,,
3805846379,51.4348663,-2.6102007,3,,
3805846392,51.4350669,-2.6076967,3,,
3805846394,51.4352955,-2.6183083,3,,
3805846409,51.4361238,-2.6153899,1,,
3805846417,51.4364217,-2.6170235,4,,
3805846420,51.436897,-2.6199697,4,,
3805911051,51.4362079,-2.6065948,3,,
3805911055,51.4362656,-2.6068742,1,,
3811478993,51.4428969,-2.5732938,3,,
3811619793,51.4543769,-2.6016016,1,,
3811627140,51.4606319,-2.5853154,3,,
3811627143,51.4610633,-2.5850493,3,,
3811627145,51.4613235,-2.5857532,3,,
3814457422,51.4409949,-2.5996985,1,,
3814457429,51.4410382,-2.5997286,3,,
3814457509,51.4415412,-2.6008057,3,,
3814457510,51.4415552,-2.6006467,1,,
3819853921,51.4384518,-2.60357,1,,
3819853922,51.4384568,-2.6031773,3,,
3819853927,51.4385584,-2.6034574,3,,
3819853929,51.4386277,-2.6033879,1,,
3819854262,51.4395728,-2.6045867,3,,
3819854276,51.4400493,-2.6081795,1,,
3819854283,51.4401719,-2.6082122,3,,
3819854293,51.4402747,-2.6047527,3,,
3819878328,51.4368509,-2.6172903,3,,
3819878876,51.4380853,-2.6147803,3,,
3821603161,51.4289743,-2.6241478,1,,
3821603168,51.429258,-2.6235984,3,,
3821603169,51.4292806,-2.623529,1,,
3821603173,51.4293783,-2.6218493,1,,
3821603183,51.4296031,-2.6223504,1,,
3821603200,51.4298154,-2.6255149,3,,
3821603207,51.4299158,-2.625134,3,,
3821603218,51.4300072,-2.62477,3,,
3821603219,51.4300404,-2.6236892,3,,
3821603234,51.4304219,-2.6251409,3,,
3821603239,51.4307701,-2.6252912,3,,
3821603241,51.4310859,-2.6254274,3,,
3821603281,51.4322108,-2.6241554,3,,
3821603293,51.4326174,-2.6243897,3,,
3821603306,51.4334872,-2.6221325,3,,
3821603312,51.4342945,-2.6192193,1,,
3821603316,51.4346041,-2.6195581,4,,
3821603317,51.4346583,-2.6194301,3,,
3821603320,51.4347287,-2.6195065,1,,
3821603324,51.43494,-2.6199337,1,,
3821603338,51.4365435,-2.6204222,3,,
3821603343,51.4367924,-2.6205813,3,,
3821603346,51.4373789,-2.6204552,4,crossing,
3821603348,51.4375073,-2.6201919,4,crossing,
3821603351,51.4375826,-2.6202698,3,,
3821603359,51.4379231,-2.6208636,4,crossing,
3821603367,51.4382138,-2.6203044,3,crossing,
