,y,x,street_count,highway,ref
1384313507,48.3994488,9.9831784,4,,
1418631254,48.3977029,9.984671,3,,
1437422147,48.4001958,9.9915549,3,,
1437471731,48.397693,9.9848063,1,,
1437471735,48.3976706,9.9858398,3,,
1437471736,48.3975623,9.9848714,3,,
1437471738,48.397616,9.9856656,3,,
1437471739,48.3976419,9.9857481,3,,
1437471743,48.3975987,9.9856103,3,,
1437471744,48.397661,9.9853233,3,,
1438098341,48.3979896,9.9855737,3,,
1438098350,48.3979594,9.9855971,1,,
1438098353,48.3979852,9.9854558,3,,
1438098366,48.3973411,9.9849722,1,,
1449466827,48.3994559,9.9833532,3,,
1449466828,48.3999396,9.9831914,3,,
1449466830,48.399933,9.9829151,1,,
1449472174,48.3999416,9.9832704,3,,
1449472181,48.3994574,9.983408,3,,
1449472190,48.3994506,9.9832198,3,,
1449472192,48.3992617,9.9833616,4,,
1449472193,48.3991965,9.9833652,1,,
1449489366,48.3995194,9.9833894,1,,
1449489378,48.3995567,9.9833498,3,,
1449497616,48.3989091,9.9848781,4,,
1449497617,48.3989744,9.9849667,4,,
1454659235,48.3996533,9.9929411,3,,
1455010736,48.3976797,9.9958462,3,crossing,
1455010740,48.3982942,9.9953576,3,,
1455010741,48.3976804,9.995292,4,,
1468429072,48.398987,9.9848835,4,,
1474968311,48.4013016,9.9886161,3,,
1474968312,48.4012787,9.9883302,3,,
1481511197,48.397609,9.9857716,3,,
1481511879,48.3974611,9.9853875,1,,
1481522864,48.4014199,9.9954301,3,,
1513182575,48.402692,9.9855043,3,,
1513182584,48.4024594,9.9846318,3,,
1514502950,48.4029824,9.9962971,3,,
1583718983,48.4029283,9.986026,3,,
1673063685,48.4010464,9.9898645,3,,
1674581864,48.4002006,9.9861336,4,,
1675750473,48.4013655,9.9908347,1,,
1675750486,48.4011198,9.9894009,3,,
1675750507,48.4012611,9.9899105,3,,
1675750513,48.4012751,9.9906053,3,,
1675750546,48.4013451,9.9905877,3,,
1675750564,48.4013264,9.9903251,1,,
1677657076,48.400436,9.9860121,3,,
1677657078,48.4003764,9.9860522,3,,
1677657084,48.4004355,9.9862498,1,,
1677657086,48.4004936,9.9862102,1,,
1677657099,48.3999775,9.9862727,3,,
1677657115,48.4008447,9.9872945,3,,
1677663268,48.4016955,9.9877722,3,,
1677663271,48.4014027,9.9886278,3,,
1677663272,48.4013059,9.9877066,3,,
1677663273,48.4016421,9.9878061,3,,
1677663275,48.4015806,9.9875522,3,,
1677666813,48.4014246,9.987641,3,,
1694903044,48.3977706,9.9813057,3,,
1694903058,48.3972658,9.9813303,3,,
1694903062,48.3972658,9.9810525,1,,
1727774399,48.3984584,9.9812958,3,,
1727774405,48.3984445,9.9812779,3,crossing,
1727778823,48.3992302,9.9812184,3,,
1758616679,48.3974876,9.9959646,1,,
1763858705,48.3995322,9.9945206,3,,
1788441231,48.3977282,9.9876885,3,,
1792418301,48.4020528,9.9931113,3,,
1792418302,48.4020249,9.9931247,1,,
1792418305,48.4017722,9.993076,3,,
1792418306,48.4019131,9.9931841,4,crossing,
1792418309,48.4019592,9.9931674,1,,
1831354341,48.4007957,9.9904163,3,,
1831354351,48.4010071,9.9904097,3,,
1831376312,48.398294,9.9946743,3,,
1831376316,48.3983037,9.9951667,2,,
1831376327,48.3990054,9.9861718,3,,
1831376328,48.3988704,9.9866685,1,turning_circle,
1831376332,48.399349,9.9858846,3,,
1831376356,48.3997422,9.9888504,3,,
1831376374,48.3998865,9.9897839,3,,
1831376378,48.3999031,9.9894915,3,,
1831376389,48.3999512,9.9881054,3,,
1831376395,48.3999959,9.9878047,1,,
1831376400,48.3999957,9.9890836,3,,
1831376418,48.4000406,9.9897681,3,,
1831376447,48.4001277,9.9881736,3,street_lamp,
1831376472,48.4004442,9.9883729,3,,
1831376488,48.4005806,9.9878425,3,,
1834829660,48.3977355,9.9872291,4,,
1834829663,48.3977543,9.9870429,3,,
1921719157,48.3971781,9.9968711,3,,
1933575800,48.4006343,9.9924338,3,,
1982588472,48.4017673,9.9810818,3,,
1983987529,48.39987,9.9811798,3,,
1996124191,48.4017776,9.996792,4,crossing,
2030932445,48.3989225,9.9866257,3,,
2037545697,48.4008492,9.9849872,4,,
2037545698,48.400868,9.9851155,3,,
2037545700,48.4009486,9.9828764,1,,
2037545704,48.4010074,9.9860846,3,,
2037545716,48.4017236,9.9832581,3,,
2037545717,48.4017275,9.9834965,3,,
2037545735,48.4027332,9.9855106,3,,
2037545740,48.4029396,9.9859633,4,,
2037545741,48.4029441,9.9857575,3,,
2037559707,48.4003954,9.9883453,4,,
2037591361,48.3999506,9.9835956,4,,
2054682590,48.4023037,9.9968219,3,,
2054682592,48.4026852,9.9966615,5,,
2054682596,48.4021206,9.9968022,3,,
2054682598,48.4026018,9.9965037,4,crossing,
2054682602,48.4020769,9.9965178,3,,
2054682608,48.4025452,9.9971413,3,,
2056136474,48.3990853,9.9945164,3,,
2070543577,48.4017085,9.996679,4,crossing,
2070543578,48.4017125,9.9968694,3,,
2070543579,48.401768,9.9966756,4,,
2070543580,48.4017822,9.9968526,4,,
2070543585,48.4022811,9.997049,3,,
2070543587,48.402343,9.9968169,3,,
2070543588,48.4023606,9.9963179,4,crossing,
2070543589,48.4024144,9.9970098,3,,
2070543590,48.402395,9.9963093,4,,
2070543591,48.4024162,9.996304,4,,
2070543593,48.4024366,9.9962989,4,crossing,
2070543594,48.4024554,9.997062,3,,
2070543595,48.4025808,9.9963394,3,,
2070543596,48.4029333,9.9964868,3,,
2094047625,48.3976468,9.9941153,4,,
2094047636,48.3977863,9.9940933,2,,
2094047639,48.3986246,9.9954132,3,,
2094047641,48.3987646,9.9955431,4,,
2108018150,48.4008033,9.9898149,3,,
2108018154,48.4009375,9.9927164,3,,
2108018157,48.401398,9.9934438,3,,
2108018158,48.4017646,9.9933943,5,,
2108018159,48.4015697,9.9934204,4,,
2108018162,48.4013233,9.9916598,3,,
2108018163,48.4014826,9.9916503,4,,
2108018209,48.4014757,9.9913647,3,,
2108052574,48.4027629,9.9893437,3,,
2108052597,48.4028564,9.9897037,3,,
2108052603,48.4029479,9.9901969,3,,
2108071296,48.4014824,9.9916743,1,,
2108071305,48.4015657,9.9933503,1,,
2108086810,48.4006074,9.9907088,1,,
2134771487,48.4016836,9.9899767,3,,
2134771494,48.4018102,9.989917,1,,
2134771588,48.4025743,9.9900648,3,,
2134771596,48.4027054,9.9905843,1,,
2134829611,48.4016804,9.9916375,4,,
2153641552,48.3993156,9.9861953,3,,
2180513402,48.3976011,9.9976015,3,,
2184645477,48.4014981,9.9943232,3,,
2184645480,48.4014886,9.9951357,3,,
2184645481,48.4014923,9.9960982,3,,
2184645486,48.4015599,9.9976922,3,,
2184709325,48.3996384,9.9952628,3,,
2184709327,48.3998541,9.9951263,3,,
2184709363,48.4009731,9.995723,3,,
2184709372,48.401422,9.995324,3,,
2184709373,48.4014153,9.9944533,3,,
2184709374,48.4014218,9.9957251,3,,
2184709375,48.4014266,9.996197,3,,
2184709376,48.4014764,9.9975021,4,,
2189105877,48.397049,9.9964771,3,,
2189105938,48.3973117,9.996341,3,,
2189105944,48.3973595,9.9958201,3,,
2189105951,48.3973871,9.996589,3,,
2189105958,48.3974288,9.9977948,3,,
2190185065,48.3995855,9.9976731,3,,
2190185071,48.3999545,9.9978244,3,,
2195077510,48.3991422,9.9975053,3,,
2195112116,48.3987696,9.9975052,3,,
2195112122,48.3987708,9.9973315,3,,
2195112175,48.3991434,9.9973303,3,,
2209841636,48.4018541,9.9912605,3,,
2211255872,48.4014031,9.9937542,3,,
2211264847,48.4007666,9.9927595,3,,
2212917712,48.3972806,9.9874794,4,crossing,
2212917729,48.3971801,9.9874414,5,crossing,
2249048815,48.4009118,9.9960133,3,,
2249282692,48.397371,9.9959657,3,,
2249910241,48.3976391,9.9953744,3,,
2270330042,48.4022701,9.9937442,3,,
2270330065,48.4024862,9.9936762,3,,
2348357026,48.3978866,9.9977278,3,,
2350974597,48.4014113,9.9939973,3,,
2350974603,48.4016149,9.9935687,3,,
2350974611,48.4000731,9.9932253,3,,
2350974612,48.4015839,9.993882,3,,
2374944091,48.3977178,9.9851046,3,,
2385338653,48.3979543,9.9972769,1,,
2385338656,48.3979475,9.9967595,3,,
2454085640,48.3988857,9.9926099,1,,
