,y,x,street_count,highway,ref
9708613393,-37.8070319,144.9442942,3,,
9708613394,-37.8069911,144.944198,3,,
9708613396,-37.8073933,144.9431096,3,,
9708613397,-37.8076107,144.9432343,3,,
9708618420,-37.8095765,144.9358996,3,,
9721014068,-37.8088624,144.984924,3,,
9721014073,-37.8070986,144.9852094,4,,
9721014074,-37.8071349,144.9855458,4,,
9721014075,-37.8071696,144.9858751,3,,
9721014080,-37.8070874,144.9851015,4,,
9721014083,-37.8069816,144.9841882,4,,
9721014085,-37.8068931,144.9833763,4,,
9721015937,-37.806493,144.9859808,4,,
9721015938,-37.8065093,144.9860828,4,,
9721015939,-37.8065269,144.986194,4,,
9721015941,-37.8066543,144.9859587,4,,
9721015944,-37.8065754,144.9859692,4,crossing,
9721015945,-37.8066678,144.9860774,4,crossing,
9721015947,-37.806597,144.9861798,4,crossing,
9721015951,-37.8066959,144.9830308,1,,
9721015952,-37.8070166,144.9858999,3,,
9722042273,-37.7953627,144.9298603,3,,
9722042274,-37.7952484,144.9294187,1,,
9725730061,-37.826048,144.9642554,1,,
9725730062,-37.8248833,144.963382,3,,
9725730077,-37.8266076,144.9633827,1,,
9725730101,-37.8253651,144.9634162,3,,
9725730102,-37.825641,144.9631868,3,,
9725730103,-37.8255567,144.9634655,3,,
9725730104,-37.825262,144.9633906,3,,
9725730105,-37.825102,144.963546,3,,
9725730108,-37.8253488,144.9634121,3,,
9725730110,-37.8256036,144.9632251,3,,
9725730111,-37.8254464,144.9634363,4,,
9725730123,-37.8260182,144.9622534,3,,
9725730124,-37.8249939,144.9634649,4,crossing,
9725730125,-37.8248722,144.9636063,4,crossing,
9725730126,-37.8255028,144.962863,3,,
9725730129,-37.8257079,144.9633437,3,,
9725730131,-37.8255916,144.9634374,3,,
9728290649,-37.8306594,144.9538622,3,,
9728290650,-37.8311043,144.954029,4,,
9729522577,-37.8309724,144.9539675,4,crossing,
9729522578,-37.8309022,144.9540501,4,traffic_signals,
9731738509,-37.81003,144.9638936,3,,
9733880662,-37.8131948,144.9449195,3,,
9733880663,-37.8125597,144.9442371,3,,
9734008665,-37.8136264,144.9724766,3,,
9738397652,-37.8025086,144.9558074,4,crossing,
9738397653,-37.8028071,144.9552129,4,crossing,
9738397657,-37.8031066,144.9557784,3,,
9738397659,-37.8020291,144.9564475,4,crossing,
9738397660,-37.8019279,144.9564662,4,crossing,
9738397661,-37.8018265,144.9584931,4,crossing,
9738397662,-37.8003496,144.9623112,3,,
9740519536,-37.8032692,144.9695735,4,,
9740519537,-37.8032546,144.9694286,3,,
9748242974,-37.8163009,144.9633645,3,,
9748242977,-37.8163322,144.96338,4,crossing,
9755954947,-37.804514,144.976955,3,,
9755954948,-37.8049431,144.9768859,1,,
9755989497,-37.818161,144.9576935,3,,
9755989501,-37.8183615,144.9570111,3,,
9755990449,-37.8143411,144.9665514,3,,
9755990450,-37.814225,144.9664996,1,,
9755990451,-37.8140309,144.9666488,1,,
9755990455,-37.8142786,144.9667708,3,,
9756018691,-37.813242,144.9663095,3,,
9756035200,-37.8112854,144.9695046,3,,
9756035201,-37.8112427,144.9694843,4,,
9756035202,-37.8110769,144.9694047,1,,
9756035259,-37.8091623,144.9614642,4,crossing,
9756035261,-37.8144949,144.9619252,3,,
9756035262,-37.8145421,144.96195,4,,
9756035265,-37.8146386,144.9619969,4,,
9756035266,-37.8146967,144.9620249,3,,
9756035288,-37.8118953,144.9715526,3,,
9756035309,-37.8115066,144.965083,3,,
9756035310,-37.81141,144.9650349,3,,
9756035311,-37.8111107,144.9658573,3,,
9756035312,-37.8113248,144.9659585,3,,
9756035315,-37.8111509,144.965937,3,,
9756035316,-37.8112489,144.9659805,3,,
9756035317,-37.8108208,144.9674507,3,,
9756035318,-37.8107202,144.9674062,3,,
9760729201,-37.7993843,144.9355278,3,,
9760769248,-37.799052,144.9330446,3,,
